movie,year,imdb_rating,reelgood_rating
Andhadhun,2018,8.3,75
The Interview,2014,6.5,75
Girl,2018,7.1,75
Project Power,2020,6,75
Super Dark Times,2017,6.6,75
The American Meme,2018,7.1,75
The Hater,2020,7.1,74
Dear Ex,2018,7.3,74
Even the Rain,2010,7.4,74
Outlaw King,2018,6.9,74
Circus of Books,2019,7,74
Springsteen On Broadway,2018,8.5,74
Mucho Mucho Amor,2020,7.3,74
Den of Thieves,2018,7,74
Jodhaa Akbar,2008,7.6,74
A Twelve-Year Night,2018,7.6,74
The Pirates! In an Adventure with Scientists!,2012,6.7,74
Big Daddy,1999,6.4,74
Heneral Luna,2015,7.6,74
De Palma,2016,7.4,74
Bareilly's Barfi,2017,7.5,74
Swimming Pool,2003,6.7,74
Cairo Station,1958,7.7,74
First They Killed My Father,2017,7.2,74
Alpha Dog,2006,6.9,74
Hulk Vs.,2009,7,74
Christine,2016,6.9,74
How the Grinch Stole Christmas,2000,6.2,74
Suffragette,2015,6.9,74
Operation Odessa,2018,7.8,74
Zathura: A Space Adventure,2005,6.2,74
Holding the Man,2015,7.4,74
Hannah Gadsby: Douglas,2020,7.8,74
Walk Hard: The Dewey Cox Story,2007,6.8,74
Cuba and the Cameraman,2017,8.3,74
Waiting...,2005,6.8,74
The Little Hours,2017,5.8,74
Alex Strangelove,2018,6.3,74
Bobby Robson: More Than a Manager,2018,8.2,74
The Sapphires,2012,7,74
The Siege of Jadotville,2016,7.2,74
Free State of Jones,2016,6.9,73
Handsome Devil,2017,7.1,73
The Speed Cubers,2020,7.4,73
Kai Po Che!,2013,7.7,73
Hold the Dark,2018,5.6,73
The Willoughbys,2020,6.4,73
One Day,2011,7,73
Tomorrow Never Dies,1997,6.5,73
Cam,2018,5.9,73
Hannah Gadsby: Nanette,2018,8.3,73
Ace Ventura: When Nature Calls,1995,6.4,73
Tallulah,2016,6.7,73
Ricky Gervais: Humanity,2018,7.9,73
All Together Now,2020,6.5,73
East Side Sushi,2014,7.1,73
The Grandmaster,2013,6.6,73
The Devil We Know,2018,7.7,73
Spectral,2016,6.3,73
Ali Wong: Hard Knock Wife,2018,7.4,73
Pick of the Litter,2019,7.6,73
Get Me Roger Stone,2017,7.4,73
6 Underground,2019,6.1,73
Black '47,2018,6.8,73
Badla,2019,7.8,73
Before I Fall,2017,6.5,73
Bleed for This,2016,6.8,73
The Kindergarten Teacher,2018,6.7,73
Session 9,2001,6.4,73
Underworld: Evolution,2006,6.7,73
Period. End of Sentence.,2018,7.4,73
Other People,2016,6.8,73
The Dirt,2019,7,73
Kill the Irishman,2011,7.1,73
Bloodsport,1988,6.8,73
Due Date,2010,6.5,73
Remember Me,2010,7.1,73
Apostle,2018,6.3,73
Tom Segura: Disgraceful,2018,7.6,73
Barbershop,2002,6.3,73
Anna Karenina,2012,6.6,73
Next Gen,2018,6.6,73
He Never Died,2015,6.4,73
Okko's Inn,2018,7,73
My Happy Family,2017,7.4,73
Muppets Most Wanted,2014,6.4,72
Tinker Bell and the Legend of the NeverBeast,2014,7.2,72
Dear Zindagi,2016,7.6,72
I am Divine,2013,7.6,72
Om Shanti Om,2007,6.7,72
A Wednesday!,2008,8.1,72
Work It,2020,6.1,72
Mune: Guardian of the Moon,2015,7.2,72
Into the Inferno,2016,7.2,72
While We're Young,2014,6.3,72
Gaga: Five Foot Two,2017,7,72
The Longest Yard,1974,7.1,72
Talaash,2012,7.2,72
The Frozen Ground,2013,6.4,72
The Grinch,2018,6.3,72
Echo in the Canyon,2019,6.9,72
The Exception,2017,6.8,72
Killer Klowns from Outer Space,1988,6.2,72
All the Bright Places,2020,6.5,72
Everybody Knows,2018,6.9,72
Hardcore Henry,2015,6.7,72
The Accountant of Auschwitz,2018,7.3,72
The World Is Not Enough,1999,6.4,72
Mike Birbiglia: The New One,2019,7.7,72
Filmworker,2018,7.4,72
Divines,2016,7.4,72
Underworld: Rise of the Lycans,2009,6.6,72
Killing Them Softly,2012,6.2,72
Soul Surfer,2011,7,72
She's Gotta Have It,1986,6.7,72
Greater,2016,7.3,72
The Babysitter: Killer Queen,2020,5.8,72
Shirkers,2018,7.4,72
Fractured,2019,6.4,72
We Have Always Lived in the Castle,2018,5.6,72
Master Z: Ip Man Legacy,2018,6.5,72
Jerry Before Seinfeld,2017,7,72
Raees,2017,6.8,71
Whisky,2004,7,71
Quincy,2018,7.6,71
Just Friends,2005,6.2,71
Berlin Syndrome,2017,6.3,71
Bleach,2018,6.4,71
The 24 Hour War,2016,7.2,71
Spitfire,2018,7.5,71
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,7.8,71
Wheelman,2017,6.4,71
Qarib Qarib Singlle,2017,7.1,71
Black Sea,2014,6.4,71
Our Souls at Night,2017,6.9,71
Spenser Confidential,2020,6.2,71
After,2019,5.3,71
Free Fire,2017,6.4,71
Retribution,2015,6.6,71
They'll Love Me When I'm Dead,2018,7.4,71
Bee Movie,2007,6.1,71
Nothing to Hide,2018,6.8,71
Sex Drive,2008,6.5,71
Urban Cowboy,1980,6.4,71
Beyond The Mat,1999,7.6,71
Petta,2019,7.2,71
1BR,2020,5.8,71
We the Animals,2018,6.9,71
The Runaways,2010,6.5,71
Abducted in Plain Sight,2018,6.8,71
Kevin Hart: Laugh at My Pain,2011,7.4,71
Miles Davis: Birth of the Cool,2019,7.4,71
Kursk,2018,6.6,71
Audrie & Daisy,2016,7.2,71
Chappaquiddick,2018,6.4,71
The Wandering Earth,2019,6,71
The Lovebirds,2020,6.1,71
The Photographer of Mauthausen,2018,6.7,71
Haywire,2011,5.8,70
Gridiron Gang,2006,6.9,70
Avengement,2019,6.5,70
Burlesque,2010,6.4,70
Kuch Kuch Hota Hai,1998,7.6,70
Sweetheart,2019,5.8,70
Before I Wake,2016,6.2,70
Newness,2017,6.4,70
Asoka,2001,6.5,70
Kicking and Screaming,1995,6.8,70
Lost Bullet,2020,6.2,70
Don 2,2011,7.1,70
All Dogs Go to Heaven,1989,6.8,70
The Bill Murray Stories: Life Lessons Learned from a Mythical Man,2018,7,70
Ali's Wedding,2017,6.9,70
Hasee Toh Phasee,2014,6.8,70
Colombiana,2011,6.4,70
Little Evil,2017,5.7,70
37 Seconds,2019,7.3,70
Quartet,2012,6.8,70
Mom,2017,7.3,70
Blaze,2018,6.6,70
Big Miracle,2012,6.5,70
Harold and Lillian: A Hollywood Love Story,2015,8,70
Mr. Right,2016,6.3,70
Bathtubs Over Broadway,2018,7.5,70
Studio 54,2018,7,70
American Assassin,2017,6.2,70
Let It Fall: Los Angeles 1982-1992,2017,7.8,70
Mission Control: The Unsung Heroes of Apollo,2017,7.6,70
From Paris with Love,2010,6.5,70
Tig,2015,7.4,70
The Producers,2005,6.3,70
Edge of Seventeen,1998,6.7,70
You Are My Sunday,2016,7.7,70
Elena,2013,7.6,69
Murder Mystery,2019,6,69
Kodachrome,2017,6.8,69
Bon Cop Bad Cop,2006,6.8,69
Smoke & Mirrors,2016,6.9,69
Bastille Day,2016,6.3,69
Imperial Dreams,2014,6.7,69
Dostana,2008,6.5,69
Mine 9,2019,6.7,69
Dance Academy: The Movie,2017,7,69
Jimmy Neutron: Boy Genius,2001,6,69
Tramps,2016,6.5,69
ZZ Top: That Little Ol' Band From Texas,2019,7.5,69
Main Hoon Na,2004,7,69
Parmanu: The Story of Pokhran,2018,7.6,69
And Breathe Normally,2018,6.9,69
Patton Oswalt: Annihilation,2017,7.2,69
The Ugly Truth,2009,6.4,69
I'm Thinking of Ending Things,2020,6.7,69
Manto,2018,7.4,69
Evelyn,2019,7.1,69
Gunjan Saxena: The Kargil Girl,2020,5.2,69
Hubie Halloween,2020,5.2,69
Trixie Mattel: Moving Parts,2019,7.3,69
Melvin Goes to Dinner,2003,6.8,69
Cowspiracy: The Sustainability Secret,2014,8.3,69
Pink,2016,8.1,69
"To Wong Foo, Thanks for Everything! Julie Newmar",1995,6.6,69
To All the Boys: P.S. I Still Love You,2020,6,69
Uncorked,2020,6.2,69
In the Shadow of the Moon,2019,6.2,69
Kaabil,2017,7.1,69
Dil Dhadakne Do,2015,6.9,69
John Leguizamo's Latin History for Morons,2018,7.5,69
Kahaani,2012,8.1,69
Bad Day for the Cut,2017,6.5,69
Behind the Curve,2018,6.5,69
Dark Skies,2013,6.3,69
I Called Him Morgan,2016,7.3,69
The Red Sea Diving Resort,2019,6.6,69
The Angel,2018,6.6,69
The Garden of Words,2013,7.5,69
Headshot,2016,6.3,69
Code 8,2019,6.1,69
Baby Mama,2008,6,69
Just Another Love Story,2007,7.2,69
The Iron Lady,2011,6.4,69
G.O.R.A.,2004,8,69
Andaz Apna Apna,1994,8.2,69
When We First Met,2018,6.4,69
Rocko's Modern Life: Static Cling,2019,7,69
Orgazmo,1997,6.2,69
The Blackcoat's Daughter,2017,5.9,69
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,7.1,69
Nappily Ever After,2018,6.4,69
Udaan,2010,8.2,69
Prosecuting Evil: The Extraordinary World of Ben Ferencz,2018,7.4,69
Operation Red Sea,2018,6.7,69
Dukhtar,2014,7,69
White Fang,2018,6.9,69
LA Originals,2020,7.2,69
Jersey Boys,2014,6.8,69
Sand Storm,2016,6.8,68
House of 1000 Corpses,2003,6.1,68
Trailer Park Boys: The Movie,2006,7.2,68
"Bikram: Yogi, Guru, Predator",2019,6.7,68
Kabhi Alvida Naa Kehna,2006,6.1,68
Cop Car,2015,6.3,68
Johnny English,2003,6.2,68
An Easy Girl,2019,5.5,68
The Signal,2014,6.1,68
How to Change the World,2014,7.6,68
Justin Timberlake + The Tennessee Kids,2016,7.8,68
13 Sins,2014,6.3,68
Dil Chahta Hai,2001,8.1,68
Polar,2019,6.3,68
The Kissing Booth,2018,6,68
My Octopus Teacher,2020,8.5,68
The Green Hornet,2011,5.8,68
No One Killed Jessica,2011,7.2,68
Screwball,2019,7.1,68
Cookie's Fortune,1999,6.8,68
American Murder: The Family Next Door,2020,7.2,68
Breath,2017,6.7,68
Horns,2013,6.5,68
Advantageous,2015,6.2,68
Between Two Ferns: The Movie,2019,6.1,68
Animal Crackers,2020,5.8,68
Strong Island,2017,6.4,68
Dolphin Tale 2,2014,6.4,68
The Secret,2006,5.6,68
Wish I Was Here,2014,6.7,68
Saving Capitalism,2017,6.8,68
Roll Red Roll,2019,7.1,68
BuyBust,2018,5.8,68
A Futile and Stupid Gesture,2018,6.8,68
Outside In,2018,6.6,68
A Fortunate Man,2018,7.2,68
Eye for an Eye,2019,6.6,68
Soorma,2018,7.4,68
Have a Good Trip: Adventures in Psychedelics,2020,6.8,68
White Girl,2016,5.7,68
The Other Side of the Wind,2018,6.8,68
Fire in the Blood,2013,7.7,68
Along Came a Spider,2001,6.4,68
Father Soldier Son,2020,7.3,68
Battle: Los Angeles,2011,5.7,68
Carrie Pilby,2017,6.6,68
Goldstone,2016,6.5,68
The Brothers,2001,6.4,68
Spelling the Dream,2020,6.9,68
Rang De Basanti,2006,8.2,68
Guzaarish,2010,7.4,68
Bad Teacher,2011,5.6,68
Tigertail,2020,6.4,68
Layla M.,2016,6.7,68
Chris Rock: Tamborine,2018,6.6,68
Eddie Murphy: Delirious,1983,8.2,68
John Mulaney: New in Town,2012,8.3,68
Act of Valor,2012,6.5,68
Possession,2002,6.3,68
